Date,Event,Type
21/05/2018,Whit Monday,Holidays in Austria
31/05/2018,Corpus Christi,Holidays in Austria
15/08/2018,Assumption of Mary,Holidays in Austria
26/10/2018,National Day,Holidays in Austria
28/10/2018,Daylight Saving Time ends,Holidays in Austria
01/11/2018,All Saints' Day,Holidays in Austria
02/11/2018,All Souls' Day,Holidays in Austria
02/12/2018,First Sunday Advent,Holidays in Austria
08/12/2018,Immaculate Conception,Holidays in Austria
25/12/2018,Christmas Day,Holidays in Austria
26/12/2018,St. Stephen's Day,Holidays in Austria
01/01/2016,New Year's Day,Holidays in Aruba
25/01/2016,Betico Croes' Birthday,Holidays in Aruba
18/03/2016,National Anthem and Flag Day,Holidays in Aruba
25/03/2016,Good Friday,Holidays in Aruba
28/03/2016,Easter Monday,Holidays in Aruba
27/04/2016,King's Day,Holidays in Aruba
01/05/2016,Labor Day,Holidays in Aruba
05/05/2016,Ascension Day,Holidays in Aruba
25/12/2016,Christmas Day,Holidays in Aruba
26/12/2016,Boxing Day,Holidays in Aruba
01/01/2017,New Year's Day,Holidays in Aruba
25/01/2017,Betico Croes' Birthday,Holidays in Aruba
18/03/2017,National Anthem and Flag Day,Holidays in Aruba
14/04/2017,Good Friday,Holidays in Aruba
17/04/2017,Easter Monday,Holidays in Aruba
27/04/2017,King's Day,Holidays in Aruba
01/05/2017,Labor Day,Holidays in Aruba
25/05/2017,Ascension Day,Holidays in Aruba
25/12/2017,Christmas Day,Holidays in Aruba
26/12/2017,Boxing Day,Holidays in Aruba
01/01/2018,New Year's Day,Holidays in Aruba
25/01/2018,Betico Croes' Birthday,Holidays in Aruba
18/03/2018,National Anthem and Flag Day,Holidays in Aruba
30/03/2018,Good Friday,Holidays in Aruba
02/04/2018,Easter Monday,Holidays in Aruba
27/04/2018,King's Day,Holidays in Aruba
01/05/2018,Labor Day,Holidays in Aruba
10/05/2018,Ascension Day,Holidays in Aruba
25/12/2018,Christmas Day,Holidays in Aruba
26/12/2018,Boxing Day,Holidays in Aruba
01/01/2016,New Year's Day,Holidays in Azerbaijan
03/01/2016,New Year's Day (day 2),Holidays in Azerbaijan
04/01/2016,New Year's Day (day 3),Holidays in Azerbaijan
20/01/2016,Martyrs’ Day,Holidays in Azerbaijan
08/03/2016,Women's Day,Holidays in Azerbaijan
20/03/2016,Nowruz/Spring Holiday,Holidays in Azerbaijan
21/03/2016,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
22/03/2016,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
23/03/2016,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
24/03/2016,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
25/03/2016,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
26/03/2016,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
09/05/2016,Victory Day over Fascism,Holidays in Azerbaijan
28/05/2016,Republic Day,Holidays in Azerbaijan
30/05/2016,Republic Day observed,Holidays in Azerbaijan
15/06/2016,The Day of National Salvation of the Azerbaijani People,Holidays in Azerbaijan
26/06/2016,Azerbaijan Armed Forces Day,Holidays in Azerbaijan
27/06/2016,Azerbaijan Armed Forces Day observed,Holidays in Azerbaijan
05/07/2016,Ramadan holiday,Holidays in Azerbaijan
13/09/2016,Feast of the Sacrifice,Holidays in Azerbaijan
18/10/2016,National Independence Day,Holidays in Azerbaijan
09/11/2016,State Flag Day of Azerbaijan,Holidays in Azerbaijan
12/11/2016,Constitution Day,Holidays in Azerbaijan
14/11/2016,Constitution Day observed,Holidays in Azerbaijan
17/11/2016,National Revival Day,Holidays in Azerbaijan
31/12/2016,New Year's Eve,Holidays in Azerbaijan
31/12/2016,World Azerbaijanis Solidarity Day,Holidays in Azerbaijan
01/01/2017,New Year's Day,Holidays in Azerbaijan
02/01/2017,New Year's Day observed,Holidays in Azerbaijan
20/01/2017,Martyrs’ Day,Holidays in Azerbaijan
08/03/2017,Women's Day,Holidays in Azerbaijan
20/03/2017,Nowruz/Spring Holiday,Holidays in Azerbaijan
21/03/2017,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
22/03/2017,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
23/03/2017,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
24/03/2017,Nowruz/Spring Holiday (extra holiday),Holidays in Azerbaijan
09/05/2017,Victory Day over Fascism,Holidays in Azerbaijan
28/05/2017,Republic Day,Holidays in Azerbaijan
29/05/2017,Republic Day observed,Holidays in Azerbaijan
15/06/2017,The Day of National Salvation of the Azerbaijani People,Holidays in Azerbaijan
26/06/2017,Azerbaijan Armed Forces Day,Holidays in Azerbaijan
26/06/2017,Ramadan holiday,Holidays in Azerbaijan
01/09/2017,Feast of the Sacrifice,Holidays in Azerbaijan
02/09/2017,Feast of the Sacrifice (day 2),Holidays in Azerbaijan
03/09/2017,Feast of the Sacrifice (day 3),Holidays in Azerbaijan
18/10/2017,National Independence Day,Holidays in Azerbaijan
09/11/2017,State Flag Day of Azerbaijan,Holidays in Azerbaijan
12/11/2017,Constitution Day,Holidays in Azerbaijan
13/11/2017,Constitution Day observed,Holidays in Azerbaijan
17/11/2017,National Revival Day,Holidays in Azerbaijan
31/12/2017,New Year's Eve,Holidays in Azerbaijan
31/12/2017,World Azerbaijanis Solidarity Day,Holidays in Azerbaijan
01/01/2016,New Year's Day,Holidays in Bosnia and Herzegovina
02/01/2016,New Year's (Day 2),Holidays in Bosnia and Herzegovina
09/01/2016,Day of the Republika Srpska,Holidays in Bosnia and Herzegovina
14/02/2016,Valentine's Day,Holidays in Bosnia and Herzegovina
01/03/2016,Independence Day,Holidays in Bosnia and Herzegovina
08/03/2016,Mothers' Day,Holidays in Bosnia and Herzegovina
26/03/2016,Holy Saturday,Holidays in Bosnia and Herzegovina
30/04/2016,Orthodox Holy Saturday,Holidays in Bosnia and Herzegovina
01/05/2016,Labor Day,Holidays in Bosnia and Herzegovina
02/05/2016,Labor Day observed,Holidays in Bosnia and Herzegovina
02/05/2016,Labor Day (Day 2),Holidays in Bosnia and Herzegovina
09/05/2016,Victory Day,Holidays in Bosnia and Herzegovina
19/06/2016,Fathers' Day,Holidays in Bosnia and Herzegovina
31/10/2016,Halloween,Holidays in Bosnia and Herzegovina
25/11/2016,Statehood Day,Holidays in Bosnia and Herzegovina
31/12/2016,New Year's Eve,Holidays in Bosnia and Herzegovina
01/01/2017,New Year's Day,Holidays in Bosnia and Herzegovina
02/01/2017,New Year's Day observed,Holidays in Bosnia and Herzegovina
02/01/2017,New Year's (Day 2),Holidays in Bosnia and Herzegovina
09/01/2017,Day of the Republika Srpska,Holidays in Bosnia and Herzegovina
14/02/2017,Valentine's Day,Holidays in Bosnia and Herzegovina
01/03/2017,Independence Day,Holidays in Bosnia and Herzegovina
08/03/2017,Mothers' Day,Holidays in Bosnia and Herzegovina
15/04/2017,Orthodox Holy Saturday,Holidays in Bosnia and Herzegovina
15/04/2017,Holy Saturday,Holidays in Bosnia and Herzegovina
01/05/2017,Labor Day,Holidays in Bosnia and Herzegovina
02/05/2017,Labor Day (Day 2),Holidays in Bosnia and Herzegovina
09/05/2017,Victory Day,Holidays in Bosnia and Herzegovina
18/06/2017,Fathers' Day,Holidays in Bosnia and Herzegovina
31/10/2017,Halloween,Holidays in Bosnia and Herzegovina
25/11/2017,Statehood Day,Holidays in Bosnia and Herzegovina
31/12/2017,New Year's Eve,Holidays in Bosnia and Herzegovina
01/01/2018,New Year's Day,Holidays in Bosnia and Herzegovina
02/01/2018,New Year's (Day 2),Holidays in Bosnia and Herzegovina
09/01/2018,Day of the Republika Srpska,Holidays in Bosnia and Herzegovina
14/02/2018,Valentine's Day,Holidays in Bosnia and Herzegovina
01/03/2018,Independence Day,Holidays in Bosnia and Herzegovina
08/03/2018,Mothers' Day,Holidays in Bosnia and Herzegovina
31/03/2018,Holy Saturday,Holidays in Bosnia and Herzegovina
07/04/2018,Orthodox Holy Saturday,Holidays in Bosnia and Herzegovina
01/05/2018,Labor Day,Holidays in Bosnia and Herzegovina
02/05/2018,Labor Day (Day 2),Holidays in Bosnia and Herzegovina
09/05/2018,Victory Day,Holidays in Bosnia and Herzegovina
17/06/2018,Fathers' Day,Holidays in Bosnia and Herzegovina
31/10/2018,Halloween,Holidays in Bosnia and Herzegovina
25/11/2018,Statehood Day,Holidays in Bosnia and Herzegovina
01/01/2016,New Year's Day,Holidays in Barbados
21/01/2016,Errol Barrow Day,Holidays in Barbados
14/02/2016,Valentine's Day,Holidays in Barbados
25/03/2016,Good Friday,Holidays in Barbados
27/03/2016,Easter Sunday,Holidays in Barbados
28/03/2016,Easter Monday,Holidays in Barbados
28/04/2016,National Heroes Day,Holidays in Barbados
01/05/2016,Labor Day / May Day,Holidays in Barbados
02/05/2016,Labor Day / May Day observed,Holidays in Barbados
08/05/2016,Mothers' Day,Holidays in Barbados
15/05/2016,Whit Sunday,Holidays in Barbados
16/05/2016,Whit Monday,Holidays in Barbados
19/06/2016,Fathers' Day,Holidays in Barbados
01/08/2016,Kadooment Day,Holidays in Barbados
01/08/2016,Emancipation Day,Holidays in Barbados
02/08/2016,Emancipation Day observed,Holidays in Barbados
31/10/2016,Halloween,Holidays in Barbados
30/11/2016,Independence Day,Holidays in Barbados
24/12/2016,Christmas Eve,Holidays in Barbados
25/12/2016,Christmas Day,Holidays in Barbados
26/12/2016,Boxing Day,Holidays in Barbados
27/12/2016,Christmas Day observed,Holidays in Barbados
31/12/2016,Old Year's Night,Holidays in Barbados
01/01/2017,New Year's Day,Holidays in Barbados
02/01/2017,New Year's Day observed,Holidays in Barbados
21/01/2017,Errol Barrow Day,Holidays in Barbados
14/02/2017,Valentine's Day,Holidays in Barbados
14/04/2017,Good Friday,Holidays in Barbados
16/04/2017,Easter Sunday,Holidays in Barbados
17/04/2017,Easter Monday,Holidays in Barbados
28/04/2017,National Heroes Day,Holidays in Barbados
01/05/2017,Labor Day / May Day,Holidays in Barbados
14/05/2017,Mothers' Day,Holidays in Barbados
04/06/2017,Whit Sunday,Holidays in Barbados
05/06/2017,Whit Monday,Holidays in Barbados
18/06/2017,Fathers' Day,Holidays in Barbados
01/08/2017,Emancipation Day,Holidays in Barbados
07/08/2017,Kadooment Day,Holidays in Barbados
31/10/2017,Halloween,Holidays in Barbados
30/11/2017,Independence Day,Holidays in Barbados
24/12/2017,Christmas Eve,Holidays in Barbados
25/12/2017,Christmas Day,Holidays in Barbados
26/12/2017,Boxing Day,Holidays in Barbados
31/12/2017,Old Year's Night,Holidays in Barbados
01/01/2018,New Year's Day,Holidays in Barbados
21/01/2018,Errol Barrow Day,Holidays in Barbados
22/01/2018,Errol Barrow Day observed,Holidays in Barbados
14/02/2018,Valentine's Day,Holidays in Barbados
30/03/2018,Good Friday,Holidays in Barbados
01/04/2018,Easter Sunday,Holidays in Barbados
02/04/2018,Easter Monday,Holidays in Barbados
28/04/2018,National Heroes Day,Holidays in Barbados
01/05/2018,Labor Day / May Day,Holidays in Barbados
13/05/2018,Mothers' Day,Holidays in Barbados
20/05/2018,Whit Sunday,Holidays in Barbados
21/05/2018,Whit Monday,Holidays in Barbados
17/06/2018,Fathers' Day,Holidays in Barbados
01/08/2018,Emancipation Day,Holidays in Barbados
06/08/2018,Kadooment Day,Holidays in Barbados
31/10/2018,Halloween,Holidays in Barbados
30/11/2018,Independence Day,Holidays in Barbados
24/12/2018,Christmas Eve,Holidays in Barbados
25/12/2018,Christmas Day,Holidays in Barbados
26/12/2018,Boxing Day,Holidays in Barbados
14/02/2016,Valentine's Day,Holidays in Bangladesh
21/02/2016,Language Martyrs' Day,Holidays in Bangladesh
17/03/2016,Sheikh Mujibur Rahman’s birthday,Holidays in Bangladesh
26/03/2016,Independence Day,Holidays in Bangladesh
14/04/2016,Bengali New Year,Holidays in Bangladesh
01/05/2016,May Day,Holidays in Bangladesh
08/05/2016,Mothers' Day,Holidays in Bangladesh
21/05/2016,Buddha Purnima/Vesak,Holidays in Bangladesh
23/05/2016,Shab e-Barat,Holidays in Bangladesh
19/06/2016,Fathers' Day,Holidays in Bangladesh
01/07/2016,Jumatul Bidah,Holidays in Bangladesh
03/07/2016,Night of Destiny,Holidays in Bangladesh
04/07/2016,Eid ul-Fitr (extra holiday),Holidays in Bangladesh
05/07/2016,Eid ul-Fitr (extra holiday),Holidays in Bangladesh
06/07/2016,Eid ul-Fitr,Holidays in Bangladesh
07/07/2016,Eid ul-Fitr Holiday Day 2,Holidays in Bangladesh
08/07/2016,Eid ul-Fitr Holiday Day 3,Holidays in Bangladesh
15/08/2016,National Mourning Day,Holidays in Bangladesh
12/09/2016,Eid ul-Adha Day 2,Holidays in Bangladesh
13/09/2016,Eid ul-Adha,Holidays in Bangladesh
13/09/2016,Eid ul-Adha Day 3,Holidays in Bangladesh
14/09/2016,Eid ul-Adha Day 4,Holidays in Bangladesh
11/10/2016,Ashura,Holidays in Bangladesh
31/10/2016,Halloween,Holidays in Bangladesh
13/12/2016,Eid e-Milad-un Nabi,Holidays in Bangladesh
16/12/2016,Victory Day,Holidays in Bangladesh
25/12/2016,Christmas Day,Holidays in Bangladesh
14/02/2017,Valentine's Day,Holidays in Bangladesh
21/02/2017,Language Martyrs' Day,Holidays in Bangladesh
17/03/2017,Sheikh Mujibur Rahman’s birthday,Holidays in Bangladesh
26/03/2017,Independence Day,Holidays in Bangladesh
14/04/2017,Bengali New Year,Holidays in Bangladesh
01/05/2017,May Day,Holidays in Bangladesh
10/05/2017,Buddha Purnima/Vesak,Holidays in Bangladesh
12/05/2017,Shab e-Barat,Holidays in Bangladesh
14/05/2017,Mothers' Day,Holidays in Bangladesh
18/06/2017,Fathers' Day,Holidays in Bangladesh
22/06/2017,Night of Destiny,Holidays in Bangladesh
26/06/2017,Jumatul Bidah,Holidays in Bangladesh
27/06/2017,Eid ul-Fitr,Holidays in Bangladesh
28/06/2017,Eid ul-Fitr Holiday Day 2,Holidays in Bangladesh
29/06/2017,Eid ul-Fitr Holiday Day 3,Holidays in Bangladesh
15/08/2017,National Mourning Day,Holidays in Bangladesh
02/09/2017,Eid ul-Adha,Holidays in Bangladesh
03/09/2017,Eid ul-Adha Day 2,Holidays in Bangladesh
04/09/2017,Eid ul-Adha Day 3,Holidays in Bangladesh
01/10/2017,Ashura,Holidays in Bangladesh
31/10/2017,Halloween,Holidays in Bangladesh
02/12/2017,Eid e-Milad-un Nabi,Holidays in Bangladesh
16/12/2017,Victory Day,Holidays in Bangladesh
25/12/2017,Christmas Day,Holidays in Bangladesh
01/01/2016,New Year's Day,Holidays in Belgium
25/03/2016,Good Friday,Holidays in Belgium
27/03/2016,Daylight Saving Time starts,Holidays in Belgium
27/03/2016,Easter Day,Holidays in Belgium
28/03/2016,Easter Monday,Holidays in Belgium
01/05/2016,Labor Day / May Day,Holidays in Belgium
05/05/2016,Ascension Day,Holidays in Belgium
15/05/2016,Whit Sunday,Holidays in Belgium
16/05/2016,Whit Monday,Holidays in Belgium
21/07/2016,Belgian National Day,Holidays in Belgium
15/08/2016,Assumption of Mary,Holidays in Belgium
30/10/2016,Daylight Saving Time ends,Holidays in Belgium
01/11/2016,All Saints' Day,Holidays in Belgium
11/11/2016,Armistice Day,Holidays in Belgium
24/12/2016,Christmas Eve,Holidays in Belgium
25/12/2016,Christmas Day,Holidays in Belgium
31/12/2016,New Year's Eve,Holidays in Belgium
01/01/2017,New Year's Day,Holidays in Belgium
26/03/2017,Daylight Saving Time starts,Holidays in Belgium
14/04/2017,Good Friday,Holidays in Belgium
16/04/2017,Easter Day,Holidays in Belgium
17/04/2017,Easter Monday,Holidays in Belgium
01/05/2017,Labor Day / May Day,Holidays in Belgium
25/05/2017,Ascension Day,Holidays in Belgium
04/06/2017,Whit Sunday,Holidays in Belgium
05/06/2017,Whit Monday,Holidays in Belgium
21/07/2017,Belgian National Day,Holidays in Belgium
15/08/2017,Assumption of Mary,Holidays in Belgium
29/10/2017,Daylight Saving Time ends,Holidays in Belgium
01/11/2017,All Saints' Day,Holidays in Belgium
11/11/2017,Armistice Day,Holidays in Belgium
24/12/2017,Christmas Eve,Holidays in Belgium
25/12/2017,Christmas Day,Holidays in Belgium
31/12/2017,New Year's Eve,Holidays in Belgium
01/01/2018,New Year's Day,Holidays in Belgium
25/03/2018,Daylight Saving Time starts,Holidays in Belgium
30/03/2018,Good Friday,Holidays in Belgium
01/04/2018,Easter Day,Holidays in Belgium
02/04/2018,Easter Monday,Holidays in Belgium
01/05/2018,Labor Day / May Day,Holidays in Belgium
10/05/2018,Ascension Day,Holidays in Belgium
20/05/2018,Whit Sunday,Holidays in Belgium
21/05/2018,Whit Monday,Holidays in Belgium
21/07/2018,Belgian National Day,Holidays in Belgium
15/08/2018,Assumption of Mary,Holidays in Belgium
28/10/2018,Daylight Saving Time ends,Holidays in Belgium
01/11/2018,All Saints' Day,Holidays in Belgium
11/11/2018,Armistice Day,Holidays in Belgium
24/12/2018,Christmas Eve,Holidays in Belgium
25/12/2018,Christmas Day,Holidays in Belgium
01/01/2016,New Year,Holidays in Burkina Faso
28/03/2016,Easter Monday,Holidays in Burkina Faso
01/05/2016,Labour Day,Holidays in Burkina Faso
05/05/2016,Ascension Day,Holidays in Burkina Faso
05/07/2016,Eid al-Fitr,Holidays in Burkina Faso
15/08/2016,Assumption of Mary,Holidays in Burkina Faso
13/09/2016,Eid al-Adha,Holidays in Burkina Faso
01/11/2016,All Saints' Eve,Holidays in Burkina Faso
